Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,strain,tissue,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,unique_id,birth_location,population_sample,Collection_Date,collected_by,Specimen_voucher,type-material
SRR15734410,not applicable,WGS,302,39605949154,PRJNA761229,SAMN09225237,Model organism or animal,not applicable,12368188289,NEWCASTLE UNIVERSITY,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,not applicable,SRX12027780,Illumina NovaSeq 6000,not applicable,CAZ22,PAIRED,RANDOM,GENOMIC,Chelonoidis guntheri,ILLUMINA,2022-02-10T00:00:00Z,2021-09-07T07:15:00Z,1,CAZ22,not collected,SRP335938,not applicable,blood,Ecuador,South America,Ecuador:Galapagos,CAZ22,,,,,,
SRR15734411,not applicable,WGS,302,40823415646,PRJNA761229,SAMN09225235,Model organism or animal,not applicable,12825521015,NEWCASTLE UNIVERSITY,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,not applicable,SRX12027779,Illumina NovaSeq 6000,not applicable,CAZ15,PAIRED,RANDOM,GENOMIC,Chelonoidis guntheri,ILLUMINA,2022-02-10T00:00:00Z,2021-09-07T05:48:00Z,1,CAZ15,not collected,SRP335938,not applicable,blood,Ecuador,South America,Ecuador:Galapagos,CAZ15,,,,,,
SRR15734412,not applicable,WGS,302,44478927836,PRJNA761229,SAMN09225299,Model organism or animal,not applicable,13844727981,NEWCASTLE UNIVERSITY,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,not applicable,SRX12027778,Illumina NovaSeq 6000,not applicable,VD08,PAIRED,RANDOM,GENOMIC,Chelonoidis microphyes,ILLUMINA,2022-02-10T00:00:00Z,2021-09-07T07:05:00Z,1,VD08,not collected,SRP335938,not applicable,blood,Ecuador,South America,Ecuador:Galapagos,VD08,,,,,,
SRR15734413,not applicable,WGS,302,49906253188,PRJNA761229,SAMN09225298,Model organism or animal,not applicable,15494317957,NEWCASTLE UNIVERSITY,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,not applicable,SRX12027777,Illumina NovaSeq 6000,not applicable,VD06,PAIRED,RANDOM,GENOMIC,Chelonoidis microphyes,ILLUMINA,2022-02-10T00:00:00Z,2021-09-07T05:23:00Z,1,VD06,not collected,SRP335938,not applicable,blood,Ecuador,South America,Ecuador:Galapagos,VD06,,,,,,
SRR15734414,not applicable,WGS,302,47182623606,PRJNA761229,SAMN09225296,Model organism or animal,not applicable,14570031185,NEWCASTLE UNIVERSITY,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,not applicable,SRX12027776,Illumina NovaSeq 6000,not applicable,VD02,PAIRED,RANDOM,GENOMIC,Chelonoidis microphyes,ILLUMINA,2022-02-10T00:00:00Z,2021-09-07T04:47:00Z,1,VD02,not collected,SRP335938,not applicable,blood,Ecuador,South America,Ecuador:Galapagos,VD02,,,,,,
SRR15734415,not applicable,WGS,302,44456663188,PRJNA761229,SAMN07660532,Model organism or animal,not applicable,13711246374,NEWCASTLE UNIVERSITY,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX12027775,Illumina NovaSeq 6000,not applicable,VA984,PAIRED,RANDOM,GENOMIC,Chelonoidis vandenburghi,ILLUMINA,2022-02-10T00:00:00Z,2021-09-07T07:03:00Z,1,VA984,not collected,SRP335938,not applicable,blood,,,,,"Volcan Alcedo, Isabela Island",VA_9,,,,
SRR15734416,not applicable,WGS,302,46214479254,PRJNA761229,SAMN07660531,Model organism or animal,not applicable,14376605183,NEWCASTLE UNIVERSITY,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX12027774,Illumina NovaSeq 6000,not applicable,VA423,PAIRED,RANDOM,GENOMIC,Chelonoidis vandenburghi,ILLUMINA,2022-02-10T00:00:00Z,2021-09-07T06:17:00Z,1,VA423,not collected,SRP335938,not applicable,blood,,,,,"Volcan Alcedo, Isabela Island",VA_8,,,,
SRR15734417,not applicable,WGS,302,44458921846,PRJNA761229,SAMN07660529,Model organism or animal,not applicable,13664974560,NEWCASTLE UNIVERSITY,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX12027773,Illumina NovaSeq 6000,not applicable,VA378,PAIRED,RANDOM,GENOMIC,Chelonoidis vandenburghi,ILLUMINA,2022-02-10T00:00:00Z,2021-09-07T04:44:00Z,1,VA378,not collected,SRP335938,not applicable,blood,,,,,"Volcan Alcedo, Isabela Island",VA_6,,,,
SRR15734418,not applicable,WGS,302,43489688784,PRJNA761229,SAMN09225232,Model organism or animal,not applicable,13607545571,NEWCASTLE UNIVERSITY,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,not applicable,SRX12027772,Illumina NovaSeq 6000,not applicable,CAZ11,PAIRED,RANDOM,GENOMIC,Chelonoidis guntheri,ILLUMINA,2022-02-10T00:00:00Z,2021-09-07T05:00:00Z,1,CAZ11,not collected,SRP335938,not applicable,blood,Ecuador,South America,Ecuador:Galapagos,CAZ11,,,,,,
SRR15734419,not applicable,WGS,302,44855649884,PRJNA761229,SAMN09225294,Model organism or animal,not applicable,14004488851,NEWCASTLE UNIVERSITY,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",adult,not applicable,SRX12027771,Illumina NovaSeq 6000,not applicable,SCR22,PAIRED,RANDOM,GENOMIC,Chelonoidis chathamensis,ILLUMINA,2022-02-10T00:00:00Z,2021-09-07T05:06:00Z,1,SCR22,not collected,SRP335938,not applicable,blood,Ecuador,South America,Ecuador:Galapagos,SCR22,,,,,,
