Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR15734410_1	13.928560174363696	45.0	151.0	151	0.0	131145527.0
SRR15734410_2	13.80800821688021	45.0	151.0	151	0.0	131145527.0
SRR15734411_1	13.538753149061677	45.0	151.0	151	0.0	135176873.0
SRR15734411_2	13.294175148151638	45.0	151.0	151	0.0	135176873.0
SRR15734412_1	16.888004195143893	47.0	151.0	151	0.0	147281218.0
SRR15734412_2	16.656647478897142	47.0	151.0	151	0.0	147281218.0
SRR15734413_1	17.80026233610242	47.0	151.0	151	0.0	165252494.0
SRR15734413_2	17.584858931182126	47.0	151.0	151	0.0	165252494.0
SRR15734414_1	17.700821898519933	46.0	151.0	151	0.0	156233853.0
SRR15734414_2	17.443688038120115	46.0	151.0	151	0.0	156233853.0
SRR15734415_1	14.622436155566007	45.0	151.0	151	0.0	147207494.0
SRR15734415_2	14.426186613053815	45.0	151.0	151	0.0	147207494.0
SRR15734416_1	14.837282709058414	45.0	151.0	151	0.0	153028077.0
SRR15734416_2	14.722814067969068	46.0	151.0	151	0.0	153028077.0
SRR15734417_1	13.867222441164586	45.0	151.0	151	0.0	147214973.0
SRR15734417_2	13.824725189048564	45.0	151.0	151	0.0	147214973.0
SRR15734418_1	13.43508904017466	45.0	151.0	151	0.0	144005592.0
SRR15734418_2	13.337319755815855	45.0	151.0	151	0.0	144005592.0
SRR15734419_1	14.874595690733699	45.0	151.0	151	0.0	148528642.0
SRR15734419_2	14.673663079532702	45.0	151.0	151	0.0	148528642.0
SRR15734420_1	14.764869563895388	44.0	151.0	151	0.0	167645253.0
SRR15734420_2	14.780930582091983	45.0	151.0	151	0.0	167645253.0
SRR15734421_1	15.263573062105223	45.0	151.0	151	0.0	142021263.0
SRR15734421_2	15.171623820146436	45.0	151.0	151	0.0	142021263.0
SRR15734422_1	10.813522095358067	45.0	151.0	151	0.0	185229159.0
SRR15734422_2	10.239868437716055	45.0	151.0	151	0.0	185229159.0
SRR15734423_1	16.297091725174155	44.0	151.0	151	0.0	178135188.0
SRR15734423_2	16.327555423410885	44.0	151.0	151	0.0	178135188.0
SRR15734424_1	15.846656719874304	45.0	151.0	151	0.0	175447759.0
SRR15734424_2	15.831117476927247	45.0	151.0	151	0.0	175447759.0
SRR15734425_1	15.08933580362914	46.0	151.0	151	0.0	121291845.0
SRR15734425_2	14.997042369868623	46.0	151.0	151	0.0	121291845.0
SRR15734426_1	11.760799697367077	45.0	151.0	151	0.0	125164653.0
SRR15734426_2	11.826263217433095	45.0	151.0	151	0.0	125164653.0
SRR15734427_1	10.509718811586595	44.0	151.0	151	0.0	113093317.0
SRR15734427_2	10.58796699149066	45.0	151.0	151	0.0	113093317.0
SRR15734428_1	17.63348832722218	48.0	151.0	151	10.0	115277076.0
