Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR15734410_trim.1	SRR15734410_trim.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	128418370.0	0.0	45-151	45.0	86.27561996833073	148.93291482363466	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15734410_trim.2	SRR15734410_trim.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	128418370.0	0.0	45-151	45.0	86.36157005848753	148.35847254563348	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR15734411_trim.1	SRR15734411_trim.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	132270962.0	0.0	45-151	45.0	86.62750741460972	149.04942079426323	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15734411_trim.2	SRR15734411_trim.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	132270962.0	0.0	45-151	45.0	86.82407614051742	148.47223838895192	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR15734412_trim.1	SRR15734412_trim.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	144163904.0	0.0	45-151	46.0	83.37775560809568	148.49846574632164	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15734412_trim.2	SRR15734412_trim.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	144163904.0	0.0	45-151	46.0	83.558020527859	147.97322885345835	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR15734413_trim.1	SRR15734413_trim.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	161690830.0	0.0	45-151	46.0	82.47924713613608	148.59240225311478	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
SRR15734413_trim.2	SRR15734413_trim.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	161690830.0	0.0	45-151	46.0	82.61237701385198	148.11954387271066	pass	pass	pass	pass	warn	pass	warn	pass	warn	pass
SRR15734414_trim.1	SRR15734414_trim.1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	153251396.0	0.0	45-151	45.0	82.46506281179626	149.10765389047418	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
SRR15734414_trim.2	SRR15734414_trim.2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	153251396.0	0.0	45-151	45.0	82.67598464997509	148.85463568632028	pass	pass	pass	warn	warn	pass	warn	pass	warn	pass
