Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR15734410_trim.1	13.72438003166927	45.0	148.93291482363466	0.0	128418370.0
SRR15734410_trim.2	13.63842994151247	45.0	148.35847254563348	0.0	128418370.0
SRR15734411_trim.1	13.372492585390276	45.0	149.04942079426323	0.0	132270962.0
SRR15734411_trim.2	13.17592385948258	45.0	148.47223838895192	0.0	132270962.0
SRR15734412_trim.1	16.622244391904317	46.0	148.49846574632164	0.0	144163904.0
SRR15734412_trim.2	16.441979472141	46.0	147.97322885345835	0.0	144163904.0
SRR15734413_trim.1	17.52075286386392	46.0	148.59240225311478	0.0	161690830.0
SRR15734413_trim.2	17.387622986148017	46.0	148.11954387271066	0.0	161690830.0
SRR15734414_trim.1	17.53493718820374	45.0	149.10765389047418	0.0	153251396.0
SRR15734414_trim.2	17.324015350024908	45.0	148.85463568632028	0.0	153251396.0
SRR15734415_trim.1	14.44491888224843	44.0	149.2397892507854	0.0	144487561.0
SRR15734415_trim.2	14.320637836802803	44.0	148.8508881605386	0.0	144487561.0
SRR15734416_trim.1	14.70572726291445	45.0	149.00600733674636	0.0	149998916.0
SRR15734416_trim.2	14.600543853377332	45.0	148.54044123225532	0.0	149998916.0
SRR15734417_trim.1	13.722341147084222	44.0	149.29440872595816	0.0	144561775.0
SRR15734417_trim.2	13.678374549001077	44.0	148.93122560234198	0.0	144561775.0
SRR15734418_trim.1	13.284052688713572	45.0	149.09791196954978	0.0	141004936.0
SRR15734418_trim.2	13.19556798764954	45.0	148.58063941109125	0.0	141004936.0
SRR15734419_trim.1	14.705851374269088	45.0	149.14567278462792	0.0	145588478.0
SRR15734419_trim.2	14.541771839755341	45.0	148.62026910536147	0.0	145588478.0
SRR15734420_trim.1	14.636003586579292	44.0	149.20313651702523	0.0	164661118.0
SRR15734420_trim.2	14.67289955633396	44.0	148.90659856323822	0.0	164661118.0
SRR15734421_trim.1	15.047063782503301	45.0	148.88346382922327	0.0	139257004.0
SRR15734421_trim.2	14.965702748095609	45.0	148.33029943685992	0.0	139257004.0
SRR15734422_trim.1	10.593223248564641	44.0	148.98151407498293	0.0	179862030.0
SRR15734422_trim.2	10.20126126897108	44.0	148.23405131700116	0.0	179862030.0
SRR15734423_trim.1	16.141575626870548	44.0	149.327454831159	0.0	175080483.0
SRR15734423_trim.2	16.221973006518525	44.0	149.0597504463133	0.0	175080483.0
SRR15734424_trim.1	15.654052864799056	45.0	149.1268980472937	0.0	172059464.0
SRR15734424_trim.2	15.702678903395523	45.0	148.6295493458006	0.0	172059464.0
SRR15734425_trim.1	14.81203331796938	45.0	148.66036124905114	0.0	118902513.0
SRR15734425_trim.2	14.792505224610693	45.0	148.07323761105033	0.0	118902513.0
SRR15734426_trim.1	11.610458025011809	45.0	149.17260880057532	0.0	122702637.0
SRR15734426_trim.2	11.718759275247919	45.0	148.82593980437437	0.0	122702637.0
SRR15734427_trim.1	10.405498494075587	44.0	149.4514794290468	0.0	111102557.0
SRR15734427_trim.2	10.497494334455027	44.0	149.20249983985516	0.0	111102557.0
SRR15734428_trim.1	17.217617816995713	48.0	147.74991404132555	10.0	112440659.0
SRR15734428_trim.2	16.714453387879857	48.0	146.63975245822778	10.0	112440659.0
SRR15734429_trim.1	13.168327569292302	44.0	149.2035983939159	0.0	142671484.0
SRR15734429_trim.2	13.049360738629815	44.0	148.89864157437376	0.0	142671484.0
SRR15734430_trim.1	10.516160235021957	45.0	149.31637356778197	0.0	102362382.0
SRR15734430_trim.2	10.630110515738366	45.0	148.9802448227514	0.0	102362382.0
SRR15734431_trim.1	10.789767181690678	45.0	149.22849955802255	0.0	98456383.0
SRR15734431_trim.2	10.728808084250645	45.0	148.56834666575148	0.0	98456383.0
SRR15734432_trim.1	11.008307569623298	45.0	149.0638310972847	0.0	110682744.0
SRR15734432_trim.2	11.032113171234187	45.0	148.7677865756563	0.0	110682744.0
SRR15734433_trim.1	10.688276459082374	44.0	149.3226171874982	0.0	109020695.0
SRR15734433_trim.2	10.762341305124494	44.0	149.02952848539445	0.0	109020695.0
SRR15734434_trim.1	11.102060364702808	45.0	149.20424987104445	0.0	107556440.0
SRR15734434_trim.2	11.007703418410287	45.0	148.83871879731237	0.0	107556440.0
SRR15734435_trim.1	11.689103525696908	45.0	149.04532038548285	0.0	124335284.0
SRR15734435_trim.2	11.688892300869256	45.0	148.70879234892004	0.0	124335284.0
SRR15734436_trim.1	5.740346940538586	44.0	148.97071404653786	0.0	26409077.0
SRR15734436_trim.2	5.806664794359932	44.0	148.36334787467203	0.0	26409077.0
SRR15734437_trim.1	13.66180073504924	45.0	148.7359323770985	0.0	145000226.0
SRR15734437_trim.2	13.626859889735613	45.0	147.8900209921052	0.0	145000226.0
SRR15734438_trim.1	13.542477507972166	45.0	148.99033176241653	0.0	137762440.0
SRR15734438_trim.2	13.63170514753837	45.0	148.55671331024624	0.0	137762440.0
SRR15734440_trim.1	11.821812725297136	44.0	149.01299199623375	0.0	112459931.0
SRR15734440_trim.2	11.795979699052708	45.0	148.4622061167724	0.0	112459931.0
SRR15734441_trim.1	12.636758399563519	45.0	148.9317693355262	0.0	109954843.0
SRR15734441_trim.2	12.601644250962636	45.0	148.31179597973687	0.0	109954843.0
SRR15734442_trim.1	9.085080334706262	44.0	148.9673696102439	0.0	147181846.0
SRR15734442_trim.2	8.905569687514955	44.0	148.54339446184144	0.0	147181846.0
SRR15734443_trim.1	12.586581432697784	44.0	149.09746991585803	0.0	121035777.0
SRR15734443_trim.2	12.446568864463998	44.0	148.58905473048685	0.0	121035777.0
SRR15734444_trim.1	11.870658049067018	44.0	149.27905800196135	0.0	119468529.0
SRR15734444_trim.2	11.938617820293501	44.0	148.82398736992903	0.0	119468529.0
SRR15734445_trim.1	12.830536922209788	45.0	148.7787668473326	0.0	110622037.0
SRR15734445_trim.2	12.605698942387264	45.0	147.88132544512808	0.0	110622037.0
SRR17407396_trim.1	19.866116485749302	46.0	149.40173873289376	0.0	365192838.0
SRR17407396_trim.2	19.728980597195374	46.0	148.82134984804932	0.0	365192838.0
SRR17408317_trim.1	9.68648033411344	46.0	149.4013087616788	0.0	121731865.0
SRR17408317_trim.2	9.809962990195558	46.0	148.8206847237574	0.0	121731865.0
SRR17408318_trim.1	9.878611518773852	46.0	149.40168469502328	0.0	121731469.0
SRR17408318_trim.2	9.971275540023441	46.0	148.82207285282988	0.0	121731469.0
SRR17619844_trim.1	19.32900963852508	44.0	147.90573463154547	10.0	440278330.0
SRR17619844_trim.2	19.29432474629668	44.0	148.4793970577657	10.0	440278330.0
SRR17619845_trim.1	20.989982055016412	45.0	149.10772821873627	10.0	367097697.0
SRR17619845_trim.2	20.170064926497517	45.0	148.77778531800487	10.0	367097697.0
