../../results/04_alignQC/sa/SRR15734410	../../results/04_alignQC/sa/SRR15734411	../../results/04_alignQC/sa/SRR15734412	../../results/04_alignQC/sa/SRR15734413	../../results/04_alignQC/sa/SRR15734414	../../results/04_alignQC/sa/SRR15734415	../../results/04_alignQC/sa/SRR15734416	../../results/04_alignQC/sa/SRR15734417	../../results/04_alignQC/sa/SRR15734418	../../results/04_alignQC/sa/SRR15734419	../../results/04_alignQC/sa/SRR15734420	../../results/04_alignQC/sa/SRR15734421	../../results/04_alignQC/sa/SRR15734422	../../results/04_alignQC/sa/SRR15734423	../../results/04_alignQC/sa/SRR15734424	../../results/04_alignQC/sa/SRR15734425	../../results/04_alignQC/sa/SRR15734426	../../results/04_alignQC/sa/SRR15734427	../../results/04_alignQC/sa/SRR15734428	../../results/04_alignQC/sa/SRR15734429	../../results/04_alignQC/sa/SRR15734430	../../results/04_alignQC/sa/SRR15734431	../../results/04_alignQC/sa/SRR15734432	../../results/04_alignQC/sa/SRR15734433	../../results/04_alignQC/sa/SRR15734434	../../results/04_alignQC/sa/SRR15734435	../../results/04_alignQC/sa/SRR15734436	../../results/04_alignQC/sa/SRR15734437	../../results/04_alignQC/sa/SRR15734438	../../results/04_alignQC/sa/SRR15734439	../../results/04_alignQC/sa/SRR15734440	../../results/04_alignQC/sa/SRR15734441	../../results/04_alignQC/sa/SRR15734442	../../results/04_alignQC/sa/SRR15734443	../../results/04_alignQC/sa/SRR15734444	../../results/04_alignQC/sa/SRR15734445	../../results/04_alignQC/sa/SRR17407396	../../results/04_alignQC/sa/SRR17408317	../../results/04_alignQC/sa/SRR17408318	../../results/04_alignQC/sa/SRR17619844	../../results/04_alignQC/sa/SRR17619845
raw total sequences:	256836740	264541924	288327808	323381660	306502792	288975122	299997832	289123550	282009872	291176956	329322236	278514008	359724060	350160966	344118928	237805026	245405274	222205114	224881318	285342968	204724764	196912766	221365488	218041390	215112880	248670568	52818154	290000452	275524880		224919862	219909686	294363692	242071554	238937058	221244074	730385676	243463730	243462938	880556660	734195394
filtered sequences:	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0
sequences:	256836740	264541924	288327808	323381660	306502792	288975122	299997832	289123550	282009872	291176956	329322236	278514008	359724060	350160966	344118928	237805026	245405274	222205114	224881318	285342968	204724764	196912766	221365488	218041390	215112880	248670568	52818154	290000452	275524880		224919862	219909686	294363692	242071554	238937058	221244074	730385676	243463730	243462938	880556660	734195394
is sorted:	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1
1st fragments:	128418370	132270962	144163904	161690830	153251396	144487561	149998916	144561775	141004936	145588478	164661118	139257004	179862030	175080483	172059464	118902513	122702637	111102557	112440659	142671484	102362382	98456383	110682744	109020695	107556440	124335284	26409077	145000226	137762440		112459931	109954843	147181846	121035777	119468529	110622037	365192838	121731865	121731469	440278330	367097697
last fragments:	128418370	132270962	144163904	161690830	153251396	144487561	149998916	144561775	141004936	145588478	164661118	139257004	179862030	175080483	172059464	118902513	122702637	111102557	112440659	142671484	102362382	98456383	110682744	109020695	107556440	124335284	26409077	145000226	137762440		112459931	109954843	147181846	121035777	119468529	110622037	365192838	121731865	121731469	440278330	367097697
reads mapped:	255593580	263678498	287331355	322180131	305539124	287992749	296293659	288189747	276511865	290172129	328273380	277451559	358335527	348939769	342908311	236985116	244618731	221533632	224046394	284225051	204052467	196244071	220597886	214464305	210503207	247803966	52617562	288995910	264529063		224083871	219160140	290389440	241310197	238163972	220483068	719453422	239823006	239818242	879216348	732764168
reads mapped and paired:	255235724	263302854	286891286	321656354	305138266	287569868	295838876	287795796	276100022	289749462	327836334	277024944	357713182	348439564	342397010	236625528	244272184	221235516	223644174	283806206	203754526	195951180	220281868	214150984	210170498	247428780	52534796	288553484	264114508		223731426	218840114	289891710	240976758	237828234	220144178	717798800	239272510	239266378	878612994	732450118
reads unmapped:	1243160	863426	996453	1201529	963668	982373	3704173	933803	5498007	1004827	1048856	1062449	1388533	1221197	1210617	819910	786543	671482	834924	1117917	672297	668695	767602	3577085	4609673	866602	200592	1004542	10995817		835991	749546	3974252	761357	773086	761006	10932254	3640724	3644696	1340312	1431226
reads properly paired:	231681724	238801220	253752734	284928550	276282340	261862362	265850204	264037120	251772500	263193518	299029604	249057098	320201388	319538874	309893444	210703944	221582742	203219696	182651166	259765460	184873618	176893286	198548580	195852830	189627152	220839012	47714154	259566490	238848910		203280722	198502582	261125170	220058940	218605964	197597594	650229876	216744512	216744056	831494650	699976072
