Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR15734410	256836740.0	0.0	256836740.0	1.0	128418370.0	128418370.0	255593580.0	255235724.0	1243160.0	231681724.0	256836740.0	33338251.0	15887788.0	0.0	0.0	6020236.0	38170838215.0	19123053210.0	19047785005.0	37996213884.0	37459254653.0	0.0	4909542210.0	417138166.0	0.01113578	148.0	149.0	148.0	151.0	151.0	151.0	36.2	343.4	82.8	115192605.0	898645.0	59086.0	11467526.0	90.2	99.51597267587185	99.37664058498797	0.48402732412816013	90.20583425875908	100.0	12.98032789234126	6.185948318764675	0.0
SRR15734411	264541924.0	0.0	264541924.0	1.0	132270962.0	132270962.0	263678498.0	263302854.0	863426.0	238801220.0	264541924.0	31627666.0	16419911.0	0.0	0.0	6211849.0	39346245039.0	19712169332.0	19634075707.0	39229002970.0	38683692293.0	0.0	4663954686.0	438084423.0	0.01132478	148.0	149.0	148.0	151.0	151.0	151.0	36.2	344.7	83.5	118791836.0	872955.0	65915.0	11920721.0	90.3	99.67361468195868	99.53161677315086	0.32638531804130977	90.26970711833184	100.0	11.955634676642028	6.206922045369263	0.0
SRR15734412	288327808.0	0.0	288327808.0	1.0	144163904.0	144163904.0	287331355.0	286891286.0	996453.0	253752734.0	288327808.0	42879061.0	20694318.0	0.0	0.0	9688927.0	42733577414.0	21405280130.0	21328297284.0	42600204799.0	41843151672.0	0.0	6226227751.0	568416610.0	0.01358446	148.0	148.0	148.0	151.0	151.0	151.0	36.2	342.2	85.4	125935445.0	1325573.0	86555.0	16098070.0	88.0	99.65440274147959	99.50177472996292	0.345597258520413	88.00841506067982	100.0	14.87163562107752	7.177357655353174	0.0
SRR15734413	323381660.0	0.0	323381660.0	1.0	161690830.0	161690830.0	322180131.0	321656354.0	1201529.0	284928550.0	323381660.0	51548245.0	23221996.0	0.0	0.0	11357775.0	47967895905.0	24022888810.0	23945007095.0	47806318053.0	46936385870.0	0.0	7469923047.0	658789131.0	0.01403579	148.0	149.0	148.0	151.0	151.0	151.0	36.3	338.6	89.8	141125446.0	1753889.0	93916.0	17854926.0	88.1	99.62844862630737	99.4664799481826	0.3715513736926207	88.10906283306234	100.0	15.94037367487074	7.180987320060142	0.0
SRR15734414	306502792.0	0.0	306502792.0	1.0	153251396.0	153251396.0	305539124.0	305138266.0	963668.0	276282340.0	306502792.0	46410878.0	20080406.0	0.0	0.0	8766662.0	45655832467.0	22848039130.0	22807793337.0	45524702826.0	44803472251.0	0.0	6800650944.0	563332327.0	0.01257341	148.0	149.0	149.0	151.0	151.0	151.0	36.3	313.5	85.1	136888506.0	1586348.0	68289.0	14025990.0	90.1	99.68559242357571	99.55480797055839	0.3144075764242957	90.14023598192867	100.0	15.142073485581822	6.551459407260472	0.0
SRR15734415	288975122.0	0.0	288975122.0	1.0	144487561.0	144487561.0	287992749.0	287569868.0	982373.0	261862362.0	288975122.0	39233876.0	17029108.0	0.0	0.0	5794556.0	43063566791.0	21560559948.0	21503006843.0	42927713609.0	42394832965.0	0.0	5806159365.0	448141387.0	0.01057066	149.0	149.0	149.0	151.0	151.0	151.0	36.3	356.4	82.6	130483958.0	733827.0	68140.0	12499009.0	90.6	99.66004928271992	99.5137110799455	0.33995071728008475	90.61761448101404	100.0	13.576904381409	5.892932195042035	0.0
SRR15734416	299997832.0	0.0	299997832.0	1.0	149998916.0	149998916.0	296293659.0	295838876.0	3704173.0	265850204.0	299997832.0	40853566.0	19224597.0	0.0	0.0	7977883.0	44624293277.0	22347691297.0	22276601980.0	44081060186.0	43400686976.0	0.0	6009500336.0	524980642.0	0.01209614	148.0	149.0	149.0	151.0	151.0	151.0	36.3	347.2	83.9	132235056.0	1021537.0	69539.0	14593306.0	88.6	98.765266743661	98.61367131479804	1.2347332563389992	88.61737507489721	100.0	13.617953745745737	6.4082453102527746	0.0
SRR15734417	289123550.0	0.0	289123550.0	1.0	144561775.0	144561775.0	288189747.0	287795796.0	933803.0	264037120.0	289123550.0	38233306.0	16418825.0	0.0	0.0	5173786.0	43105283007.0	21579605330.0	21525677677.0	42975844838.0	42478432401.0	0.0	5662240840.0	425284874.0	0.01001178	149.0	149.0	149.0	151.0	151.0	151.0	36.3	348.1	80.2	131582405.0	710456.0	65729.0	11539308.0	91.3	99.67702285061179	99.54076587673332	0.32297714938821137	91.32328376571192	100.0	13.223864330664176	5.67882657777272	0.0
SRR15734418	282009872.0	0.0	282009872.0	1.0	141004936.0	141004936.0	276511865.0	276100022.0	5498007.0	251772500.0	282009872.0	33534501.0	16467765.0	0.0	0.0	5525618.0	41966585133.0	21020593328.0	20945991805.0	41152217618.0	40621766621.0	0.0	4954854503.0	423157602.0	0.01041702	148.0	149.0	149.0	151.0	151.0	151.0	36.2	358.9	86.4	125344480.0	800400.0	61824.0	11843307.0	89.3	98.05042037677319	97.90438187213532	1.9495796232268068	89.27790300901239	100.0	11.891250743165473	5.839428557309512	0.0
SRR15734419	291176956.0	0.0	291176956.0	1.0	145588478.0	145588478.0	290172129.0	289749462.0	1004827.0	263193518.0	291176956.0	40905213.0	17622979.0	0.0	0.0	6453851.0	43343952652.0	21711035116.0	21632917536.0	43205196985.0	42637971385.0	0.0	6023800833.0	461484027.0	0.01082331	148.0	149.0	149.0	151.0	151.0	151.0	36.2	349.6	81.6	131017425.0	877700.0	68965.0	12910641.0	90.4	99.65490847428188	99.50975035263437	0.34509152571812723	90.38954236474675	100.0	14.048231550301665	6.052326132566617	0.0
